index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
  120,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  121,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  122,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  123,             ,        10793,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  124,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  125,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  126,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  127,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
  128,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
  129,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  130,             ,         9208,         100,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 21
  131,             ,         9999,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  132,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  133,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
  134,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  135,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  136,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  137,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.90,       14.81,               8,                 20
  138,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  139,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  140,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  141,             ,        10793,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  142,             ,         9208,          85,               ,               73,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  143,             ,         9999,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  144,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  145,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  146,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  147,             ,        10792,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               9,                 20
  148,             ,         9209,          84,               ,               73,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  149,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  150,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  151,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  152,             ,        10000,         108,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               9,                 21
  153,             ,        10793,          86,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  154,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  155,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  156,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  157,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
  158,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
  159,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  160,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  161,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  162,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  163,             ,        10000,         101,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  164,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  165,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  166,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  167,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  168,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  169,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  170,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  171,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  172,             ,         9208,          83,               ,               73,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  173,             ,         9999,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  174,             ,        10000,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  175,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  176,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  177,             ,        10793,          84,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  178,             ,         9208,          83,               ,               73,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  179,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  180,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  181,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  182,             ,        10000,          84,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  183,             ,        10793,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  184,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  185,             ,         9999,         101,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  186,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  187,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  188,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  189,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 21
  190,             ,         9208,          84,               ,               74,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  191,             ,         9999,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 21
  192,             ,        10000,          84,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  193,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  194,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  195,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  196,             ,         9208,         101,               ,               72,            ,     85588,      1.42,     27.77,       14.60,               9,                 20
  197,             ,         9999,          86,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  198,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 21
  199,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  200,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  201,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  202,             ,         9208,          84,               ,               73,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
  203,             ,         9999,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  204,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  205,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  206,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  207,             ,        10793,         100,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
  208,             ,         9208,          86,               ,               73,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  209,             ,         9999,          84,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  210,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  211,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  212,             ,        10000,          84,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  213,             ,        10793,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  214,             ,         9208,          84,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  215,             ,         9999,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  216,             ,        10000,          89,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  217,             ,        10000,          84,               ,               59,            ,     85588,      1.73,     27.91,       14.82,               8,                 21
  218,             ,        10000,         106,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 31
  219,             ,        10793,          86,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  220,             ,         9208,          84,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
