index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
  390,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  391,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  392,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.91,        8.95,               8,                  8
  393,             ,         9838,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  394,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  395,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  396,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  397,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  398,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  399,             ,        10000,          96,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  400,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  401,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.16,        9.27,               8,                  8
  402,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  403,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  404,             ,         9839,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  405,             ,        10161,          75,               ,                7,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  406,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  407,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  408,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  409,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  410,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  411,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  412,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  413,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  414,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  415,             ,         9838,          75,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
  416,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  417,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  418,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  419,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  420,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  421,             ,        10000,          96,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  422,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  423,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  424,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.81,        8.90,               8,                  8
  425,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  426,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  427,             ,        10162,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  428,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  429,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  430,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  431,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  432,             ,        10000,          92,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  433,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  434,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  435,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  436,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  437,             ,         9838,          75,               ,                8,            ,    253980,      0.03,     17.82,        8.92,               8,                  8
  438,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  439,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  440,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  441,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  442,             ,        10000,          74,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  443,             ,        10000,          97,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
  444,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  445,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  446,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  447,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  448,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  449,             ,        10162,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  450,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  451,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  452,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  453,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  454,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  455,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  456,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  457,             ,        10000,          75,               ,                8,            ,    253980,      0.03,     17.81,        8.92,               8,                  8
  458,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  459,             ,         9838,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  460,             ,        10162,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  461,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  462,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  463,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  464,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
